rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
234,0,1664,91200,396854.7008547009,12.36867904663086
200,188,200,91200,457000.0,62.713623046875
296,47,200,91200,308783.7837837838,60.73331832885742
163,51,200,91200,560736.1963190184,62.89815902709961
166,68,200,91200,550602.4096385542,59.37504768371582
175,57,200,91200,522285.7142857143,58.837890625
201,62,200,91200,454726.36815920396,68.07541847229004
320,68,200,91200,285625.0,57.28411674499512
200,65,200,91200,457000.0,65.71698188781738
185,62,200,91200,494054.0540540541,55.21821975708008
204,65,200,91200,448039.2156862745,65.47665596008301
199,74,200,91200,459296.4824120603,57.63602256774902
320,64,200,91200,285625.0,56.31303787231445
186,64,200,91200,491397.84946236556,57.62124061584473
204,60,200,91200,448039.2156862745,59.42893028259277
208,85,200,91200,439423.0769230769,62.35861778259277
346,115,200,91200,264161.84971098264,58.14313888549805
218,98,200,91200,419266.05504587153,60.776710510253906
195,89,200,91200,468717.94871794875,59.20886993408203
212,86,200,91200,431132.0754716981,60.247182846069336
171,93,200,91200,534502.9239766081,55.17292022705078
326,100,200,91200,280368.0981595092,59.53645706176758
194,82,200,91200,471134.0206185567,57.417869567871094
202,103,200,91200,452475.2475247525,66.39313697814941
212,91,200,91200,431132.0754716981,62.91651725769043
225,95,200,91200,406222.22222222225,74.31864738464355
353,88,200,91200,258923.51274787536,70.60766220092773
219,92,200,91200,417351.598173516,58.73394012451172
207,88,200,91200,441545.89371980674,62.63017654418945
209,88,200,91200,437320.57416267943,62.406063079833984
230,86,200,91200,397391.30434782605,75.04773139953613
337,95,200,91200,271216.6172106825,61.638593673706055
216,104,200,91200,423148.14814814815,60.30583381652832
197,100,200,91200,463959.3908629442,59.22651290893555
215,102,200,91200,425116.2790697674,59.636831283569336
200,91,200,91200,457000.0,60.45269966125488
339,94,200,91200,269616.5191740413,70.9238052368164
200,117,200,91200,457000.0,60.442447662353516
221,92,200,91200,413574.66063348413,62.79945373535156
213,109,200,91200,429107.9812206573,60.79363822937012
339,95,200,91200,269616.5191740413,57.99221992492676
210,94,200,91200,435238.09523809527,66.53976440429688
211,100,200,91200,433175.35545023694,59.07273292541504
