rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
286,0,1664,91200,324699.3006993007,12.432575225830078
244,211,200,91200,374590.16393442627,55.81521987915039
281,50,200,91200,325266.9039145907,51.71370506286621
139,55,200,91200,657553.9568345324,21.94952964782715
157,62,200,91200,582165.6050955415,49.26800727844238
153,65,200,91200,597385.6209150327,53.650856018066406
184,63,200,91200,496739.13043478265,56.29420280456543
291,62,200,91200,314089.3470790378,52.188873291015625
163,67,200,91200,560736.1963190184,55.17911911010742
158,64,200,91200,578481.0126582279,54.09407615661621
151,61,200,91200,605298.0132450331,53.208112716674805
170,66,200,91200,537647.0588235294,58.296918869018555
299,60,200,91200,305685.61872909695,55.521488189697266
156,68,200,91200,585897.4358974359,56.485652923583984
182,67,200,91200,502197.80219780223,54.02708053588867
167,97,200,91200,547305.3892215568,52.208662033081055
194,100,200,91200,471134.0206185567,54.30722236633301
290,78,200,91200,315172.4137931034,26.451587677001953
181,105,200,91200,504972.37569060776,24.08003807067871
171,109,200,91200,534502.9239766081,24.96480941772461
146,86,200,91200,626027.397260274,22.835493087768555
163,93,200,91200,560736.1963190184,22.996187210083008
294,111,200,91200,310884.3537414966,24.196863174438477
150,105,200,91200,609333.3333333334,24.4443416595459
171,98,200,91200,534502.9239766081,28.325319290161133
176,90,200,91200,519318.1818181819,30.421018600463867
216,82,200,91200,423148.14814814815,51.51629447937012
206,101,200,91200,443689.32038834953,52.74772644042969
334,92,200,91200,273652.6946107784,52.95443534851074
192,102,200,91200,476041.6666666667,24.242162704467773
172,91,200,91200,531395.3488372093,24.051427841186523
223,115,200,91200,409865.4708520179,52.09755897521973
315,88,200,91200,290158.7301587302,23.622989654541016
179,105,200,91200,510614.5251396648,51.98812484741211
212,88,200,91200,431132.0754716981,52.387237548828125
208,109,200,91200,439423.0769230769,50.607919692993164
206,93,200,91200,443689.32038834953,22.891521453857422
315,100,200,91200,290158.7301587302,22.97377586364746
211,102,200,91200,433175.35545023694,52.75416374206543
183,93,200,91200,499453.5519125683,26.45564079284668
188,90,200,91200,486170.21276595746,24.840831756591797
212,117,200,91200,431132.0754716981,51.49555206298828
336,98,200,91200,272023.8095238095,54.447174072265625
182,123,200,91200,502197.80219780223,24.370908737182617
233,96,200,91200,392274.678111588,59.91649627685547
211,98,200,91200,433175.35545023694,52.977561950683594
224,90,200,91200,408035.71428571426,57.10434913635254
206,90,200,91200,443689.32038834953,59.9827766418457
336,99,200,91200,272023.8095238095,60.903072357177734
211,90,200,91200,433175.35545023694,55.12666702270508
213,81,200,91200,429107.9812206573,59.702157974243164
215,109,200,91200,425116.2790697674,52.34932899475098
346,103,200,91200,264161.84971098264,52.79040336608887
216,100,200,91200,423148.14814814815,58.43496322631836
178,95,200,91200,513483.1460674158,53.64084243774414
213,92,200,91200,429107.9812206573,56.98084831237793
226,105,200,91200,404424.77876106196,57.509660720825195
355,87,200,91200,257464.78873239437,57.03926086425781
203,100,200,91200,450246.3054187192,56.952714920043945
194,86,200,91200,471134.0206185567,54.26764488220215
216,103,200,91200,423148.14814814815,55.42445182800293
218,92,200,91200,419266.05504587153,62.58678436279297
308,88,200,91200,296753.24675324676,50.59647560119629
213,121,200,91200,429107.9812206573,58.49480628967285
211,96,200,91200,433175.35545023694,52.14834213256836
215,96,200,91200,425116.2790697674,55.356502532958984
220,103,200,91200,415454.5454545454,51.761627197265625
325,109,200,91200,281230.76923076925,53.7409782409668
216,102,200,91200,423148.14814814815,55.00030517578125
219,96,200,91200,417351.598173516,58.483123779296875
206,98,200,91200,443689.32038834953,56.714773178100586
331,85,200,91200,276132.9305135952,52.750349044799805
205,102,200,91200,445853.6585365854,54.71515655517578
182,92,200,91200,502197.80219780223,59.50355529785156
200,89,200,91200,457000.0,60.76860427856445
216,97,200,91200,423148.14814814815,56.44369125366211
362,77,200,91200,252486.18784530388,64.42856788635254
193,87,200,91200,473575.12953367876,57.05523490905762
185,96,200,91200,494054.0540540541,54.865121841430664
186,87,200,91200,491397.84946236556,54.755449295043945
206,103,200,91200,443689.32038834953,52.503108978271484
333,96,200,91200,274474.47447447444,53.938865661621094
209,89,200,91200,437320.57416267943,55.84716796875
192,102,200,91200,476041.6666666667,53.166866302490234
199,86,200,91200,459296.4824120603,54.471731185913086
171,107,200,91200,534502.9239766081,52.054405212402344
313,82,200,91200,292012.77955271566,50.024986267089844
197,83,200,91200,463959.3908629442,55.21059036254883
186,99,200,91200,491397.84946236556,51.4676570892334
186,92,200,91200,491397.84946236556,50.87852478027344
172,98,200,91200,531395.3488372093,51.85675621032715
324,89,200,91200,282098.76543209876,55.70101737976074
211,100,200,91200,433175.35545023694,55.11927604675293
176,110,200,91200,519318.1818181819,51.56064033508301
193,107,200,91200,473575.12953367876,54.28194999694824
185,99,200,91200,494054.0540540541,50.61674118041992
318,104,200,91200,287421.38364779874,52.458763122558594
198,82,200,91200,461616.1616161616,61.9654655456543
191,87,200,91200,478534.0314136126,52.09922790527344
129,0,1664,91200,719875.9689922481,12.396574020385742
170,45,200,91200,537647.0588235294,60.8983039855957
156,50,200,91200,585897.4358974359,53.200721740722656
162,53,200,91200,564197.5308641975,50.16160011291504
304,64,200,91200,300657.8947368421,62.685489654541016
157,61,200,91200,582165.6050955415,52.678585052490234
176,62,200,91200,519318.1818181819,50.91428756713867
162,61,200,91200,564197.5308641975,51.51486396789551
287,58,200,91200,318466.8989547038,60.26506423950195
156,65,200,91200,585897.4358974359,52.63876914978027
156,66,200,91200,585897.4358974359,54.123640060424805
176,61,200,91200,519318.1818181819,52.64425277709961
160,58,200,91200,571250.0,51.78046226501465
250,64,200,91200,365600.0,22.266387939453125
154,66,200,91200,593506.4935064935,25.784015655517578
138,111,200,91200,662318.8405797101,24.571895599365234
133,97,200,91200,687218.0451127819,22.22466468811035
166,97,200,91200,550602.4096385542,24.079561233520508
284,104,200,91200,321830.9859154929,24.537086486816406
175,91,200,91200,522285.7142857143,23.52428436279297
146,112,200,91200,626027.397260274,24.715423583984375
152,90,200,91200,601315.7894736842,33.34307670593262
150,97,200,91200,609333.3333333334,24.5516300201416
311,88,200,91200,293890.6752411576,60.942888259887695
200,92,200,91200,457000.0,55.6790828704834
178,106,200,91200,513483.1460674158,25.115966796875
157,101,200,91200,582165.6050955415,22.2933292388916
319,88,200,91200,286520.3761755486,51.45382881164551
180,86,200,91200,507777.77777777775,51.622629165649414
157,103,200,91200,582165.6050955415,24.42026138305664
161,90,200,91200,567701.8633540373,26.04198455810547
184,119,200,91200,496739.13043478265,52.25419998168945
306,95,200,91200,298692.81045751635,53.75361442565918
185,94,200,91200,494054.0540540541,55.555105209350586
188,126,200,91200,486170.21276595746,56.44488334655762
196,83,200,91200,466326.53061224485,55.86886405944824
182,100,200,91200,502197.80219780223,54.80313301086426
318,109,200,91200,287421.38364779874,55.30428886413574
177,105,200,91200,516384.1807909605,56.35237693786621
170,98,200,91200,537647.0588235294,54.39925193786621
181,104,200,91200,504972.37569060776,56.88738822937012
169,89,200,91200,540828.4023668639,51.58090591430664
333,79,200,91200,274474.47447447444,55.570125579833984
135,111,200,91200,677037.0370370371,25.701284408569336
165,95,200,91200,553939.393939394,32.12785720825195
