rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
266,0,1664,91200,349112.7819548872,12.133598327636719
288,187,200,91200,317361.11111111107,56.806087493896484
242,44,200,91200,377685.9504132232,56.66804313659668
181,59,200,91200,504972.37569060776,58.09450149536133
175,64,200,91200,522285.7142857143,52.73175239562988
174,54,200,91200,525287.356321839,55.457115173339844
283,55,200,91200,322968.19787985866,56.10466003417969
208,55,200,91200,439423.0769230769,53.899288177490234
199,58,200,91200,459296.4824120603,57.34586715698242
207,62,200,91200,441545.89371980674,57.14702606201172
179,60,200,91200,510614.5251396648,57.093143463134766
328,67,200,91200,278658.5365853659,64.9409294128418
203,54,200,91200,450246.3054187192,54.99982833862305
186,56,200,91200,491397.84946236556,54.49032783508301
189,65,200,91200,483597.88359788357,58.8679313659668
173,74,200,91200,528323.6994219653,55.86099624633789
314,83,200,91200,291082.8025477707,55.191993713378906
190,62,200,91200,481052.63157894736,52.962541580200195
166,72,200,91200,550602.4096385542,53.87735366821289
202,69,200,91200,452475.2475247525,53.128719329833984
177,78,200,91200,516384.1807909605,42.011260986328125
295,75,200,91200,309830.5084745763,27.716875076293945
138,64,200,91200,662318.8405797101,28.03969383239746
160,68,200,91200,571250.0,26.78704261779785
162,68,200,91200,564197.5308641975,28.143882751464844
167,72,200,91200,547305.3892215568,26.769161224365234
269,68,200,91200,339776.95167286246,27.24766731262207
183,59,200,91200,499453.5519125683,53.01308631896973
176,64,200,91200,519318.1818181819,60.11343002319336
170,67,200,91200,537647.0588235294,49.32284355163574
307,71,200,91200,297719.86970684037,53.29728126525879
142,68,200,91200,643661.9718309859,26.162385940551758
154,74,200,91200,593506.4935064935,24.707794189453125
163,64,200,91200,560736.1963190184,25.338172912597656
204,76,200,91200,448039.2156862745,52.69217491149902
173,68,200,91200,528323.6994219653,23.439407348632812
297,67,200,91200,307744.1077441077,24.595975875854492
197,68,200,91200,463959.3908629442,53.664207458496094
176,71,200,91200,519318.1818181819,25.307178497314453
201,70,200,91200,454726.36815920396,50.360679626464844
165,86,200,91200,553939.393939394,24.25384521484375
331,80,200,91200,276132.9305135952,52.32572555541992
177,66,200,91200,516384.1807909605,23.419618606567383
181,74,200,91200,504972.37569060776,50.11391639709473
201,68,200,91200,454726.36815920396,58.88533592224121
344,62,200,91200,265697.67441860464,55.90653419494629
167,73,200,91200,547305.3892215568,57.44147300720215
179,61,200,91200,510614.5251396648,59.316158294677734
175,70,200,91200,522285.7142857143,54.25882339477539
212,68,200,91200,431132.0754716981,53.862810134887695
197,67,200,91200,463959.3908629442,53.92885208129883
306,66,200,91200,298692.81045751635,49.50976371765137
180,70,200,91200,507777.77777777775,55.12523651123047
149,71,200,91200,613422.8187919463,28.350353240966797
190,63,200,91200,481052.63157894736,62.14141845703125
309,59,200,91200,295792.8802588997,26.77321434020996
166,70,200,91200,550602.4096385542,24.761438369750977
176,68,200,91200,519318.1818181819,25.376319885253906
205,70,200,91200,445853.6585365854,52.600860595703125
176,63,200,91200,519318.1818181819,29.22987937927246
301,66,200,91200,303654.4850498339,28.87439727783203
165,62,200,91200,553939.393939394,26.526689529418945
178,73,200,91200,513483.1460674158,34.444332122802734
177,73,200,91200,516384.1807909605,55.0692081451416
168,69,200,91200,544047.619047619,30.758142471313477
300,71,200,91200,304666.6666666667,55.54604530334473
169,68,200,91200,540828.4023668639,28.62691879272461
164,69,200,91200,557317.0731707318,37.77885437011719
143,68,200,91200,639160.8391608391,29.71029281616211
201,66,200,91200,454726.36815920396,61.30242347717285
317,64,200,91200,288328.07570977916,56.2436580657959
186,77,200,91200,491397.84946236556,59.47303771972656
147,78,200,91200,621768.7074829933,31.26668930053711
153,65,200,91200,597385.6209150327,32.317161560058594
226,78,200,91200,404424.77876106196,68.31741333007812
327,76,200,91200,279510.7033639144,57.45697021484375
160,68,200,91200,571250.0,31.07285499572754
150,70,200,91200,609333.3333333334,32.77277946472168
178,63,200,91200,513483.1460674158,60.205936431884766
155,73,200,91200,589677.4193548387,29.377222061157227
304,64,200,91200,300657.8947368421,59.16166305541992
141,69,200,91200,648226.9503546099,31.62860870361328
164,69,200,91200,557317.0731707318,30.672073364257812
162,72,200,91200,564197.5308641975,58.565378189086914
327,65,200,91200,279510.7033639144,192.52252578735352
146,68,200,91200,626027.397260274,31.456708908081055
175,64,200,91200,522285.7142857143,42.022705078125
151,65,200,91200,605298.0132450331,29.637575149536133
166,73,200,91200,550602.4096385542,30.591726303100586
175,68,200,91200,522285.7142857143,29.373884201049805
307,67,200,91200,297719.86970684037,29.309749603271484
148,51,200,91200,617567.5675675676,30.186891555786133
161,63,200,91200,567701.8633540373,30.384540557861328
159,68,200,91200,574842.7672955975,36.118268966674805
280,65,200,91200,326428.5714285714,28.524160385131836
197,69,200,91200,463959.3908629442,54.930686950683594
191,66,200,91200,478534.0314136126,56.81896209716797
144,67,200,91200,634722.2222222221,29.444217681884766
174,62,200,91200,525287.356321839,30.193090438842773
254,0,1664,91200,365606.2992125984,12.526273727416992
183,166,200,91200,499453.5519125683,55.08780479431152
182,30,200,91200,502197.80219780223,55.782318115234375
172,54,200,91200,531395.3488372093,55.79018592834473
304,58,200,91200,300657.8947368421,55.40013313293457
164,60,200,91200,557317.0731707318,53.717613220214844
180,56,200,91200,507777.77777777775,62.09111213684082
166,52,200,91200,550602.4096385542,53.43985557556152
187,61,200,91200,488770.0534759358,53.52354049682617
310,62,200,91200,294838.70967741933,53.56287956237793
163,59,200,91200,560736.1963190184,52.77252197265625
171,58,200,91200,534502.9239766081,53.980350494384766
163,63,200,91200,560736.1963190184,53.25794219970703
174,56,200,91200,525287.356321839,52.33120918273926
301,69,200,91200,303654.4850498339,54.24642562866211
167,73,200,91200,547305.3892215568,53.888559341430664
174,64,200,91200,525287.356321839,52.307844161987305
178,68,200,91200,513483.1460674158,51.92255973815918
173,78,200,91200,528323.6994219653,54.879188537597656
310,61,200,91200,294838.70967741933,63.17305564880371
172,80,200,91200,531395.3488372093,57.03425407409668
170,75,200,91200,537647.0588235294,54.451942443847656
175,64,200,91200,522285.7142857143,58.3040714263916
301,69,200,91200,303654.4850498339,52.69336700439453
168,72,200,91200,544047.619047619,53.694963455200195
170,82,200,91200,537647.0588235294,53.606510162353516
193,66,200,91200,473575.12953367876,55.60111999511719
205,69,200,91200,445853.6585365854,64.49651718139648
335,71,200,91200,272835.82089552237,54.190635681152344
191,52,200,91200,478534.0314136126,52.956342697143555
192,71,200,91200,476041.6666666667,53.44986915588379
218,68,200,91200,419266.05504587153,70.6028938293457
176,73,200,91200,519318.1818181819,54.32724952697754
290,66,200,91200,315172.4137931034,51.6209602355957
166,70,200,91200,550602.4096385542,51.77617073059082
172,68,200,91200,531395.3488372093,53.22718620300293
179,62,200,91200,510614.5251396648,57.52158164978027
168,70,200,91200,544047.619047619,52.90389060974121
304,69,200,91200,300657.8947368421,50.27484893798828
171,60,200,91200,534502.9239766081,55.61327934265137
201,68,200,91200,454726.36815920396,51.95450782775879
168,63,200,91200,544047.619047619,52.43802070617676
338,72,200,91200,270414.20118343196,55.07159233093262
177,67,200,91200,516384.1807909605,60.62960624694824
180,72,200,91200,507777.77777777775,53.61008644104004
170,68,200,91200,537647.0588235294,53.75194549560547
191,63,200,91200,478534.0314136126,54.61716651916504
326,70,200,91200,280368.0981595092,51.44214630126953
195,76,200,91200,468717.94871794875,53.67231369018555
189,60,200,91200,483597.88359788357,52.86216735839844
171,72,200,91200,534502.9239766081,51.65433883666992
198,71,200,91200,461616.1616161616,53.90191078186035
327,74,200,91200,279510.7033639144,52.92654037475586
187,72,200,91200,488770.0534759358,52.83689498901367
170,72,200,91200,537647.0588235294,52.28447914123535
205,68,200,91200,445853.6585365854,58.8374137878418
216,70,200,91200,423148.14814814815,63.54546546936035
310,74,200,91200,294838.70967741933,55.97186088562012
201,71,200,91200,454726.36815920396,54.160118103027344
181,60,200,91200,504972.37569060776,57.58833885192871
185,70,200,91200,494054.0540540541,53.551435470581055
196,83,200,91200,466326.53061224485,53.92742156982422
317,71,200,91200,288328.07570977916,53.3907413482666
192,62,200,91200,476041.6666666667,56.550025939941406
162,72,200,91200,564197.5308641975,56.47444725036621
178,71,200,91200,513483.1460674158,56.260108947753906
180,65,200,91200,507777.77777777775,56.43272399902344
294,72,200,91200,310884.3537414966,55.5419921875
180,76,200,91200,507777.77777777775,59.43489074707031
212,62,200,91200,431132.0754716981,66.1318302154541
162,76,200,91200,564197.5308641975,56.22577667236328
314,82,200,91200,291082.8025477707,53.609371185302734
170,83,200,91200,537647.0588235294,56.55193328857422
196,65,200,91200,466326.53061224485,56.940555572509766
186,72,200,91200,491397.84946236556,53.978681564331055
178,61,200,91200,513483.1460674158,55.37891387939453
343,65,200,91200,266472.3032069971,57.956695556640625
189,72,200,91200,483597.88359788357,55.89151382446289
174,62,200,91200,525287.356321839,55.00173568725586
195,59,200,91200,468717.94871794875,55.24587631225586
200,72,200,91200,457000.0,52.57534980773926
337,72,200,91200,271216.6172106825,54.92520332336426
193,68,200,91200,473575.12953367876,55.24468421936035
196,62,200,91200,466326.53061224485,55.04870414733887
198,79,200,91200,461616.1616161616,53.91860008239746
209,66,200,91200,437320.57416267943,53.620338439941406
331,68,200,91200,276132.9305135952,55.45926094055176
171,76,200,91200,534502.9239766081,53.84469032287598
194,66,200,91200,471134.0206185567,56.5800666809082
215,62,200,91200,425116.2790697674,64.56995010375977
316,70,200,91200,289240.50632911397,54.527997970581055
205,69,200,91200,445853.6585365854,55.696725845336914
182,76,200,91200,502197.80219780223,54.373741149902344
212,64,200,91200,431132.0754716981,54.40211296081543
167,72,200,91200,547305.3892215568,51.75638198852539
152,75,200,91200,601315.7894736842,53.42555046081543
310,62,200,91200,294838.70967741933,53.34138870239258
171,63,200,91200,534502.9239766081,51.5444278717041
149,61,200,91200,613422.8187919463,31.273603439331055
