rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
279,0,1664,91200,332845.8781362007,12.60066032409668
103,185,200,91200,887378.6407766991,16.013145446777344
255,32,200,91200,358431.37254901964,27.296066284179688
135,40,200,91200,677037.0370370371,19.591808319091797
152,54,200,91200,601315.7894736842,57.67536163330078
161,53,200,91200,567701.8633540373,53.121328353881836
288,48,200,91200,317361.11111111107,54.45718765258789
124,48,200,91200,737096.7741935484,20.89238166809082
125,49,200,91200,731200.0,18.83864402770996
141,47,200,91200,648226.9503546099,23.110151290893555
138,53,200,91200,662318.8405797101,33.8442325592041
249,49,200,91200,367068.27309236943,25.593042373657227
132,55,200,91200,692424.2424242424,22.43804931640625
157,54,200,91200,582165.6050955415,51.44691467285156
166,52,200,91200,550602.4096385542,50.81367492675781
183,63,200,91200,499453.5519125683,58.88557434082031
293,55,200,91200,311945.3924914676,52.26588249206543
183,63,200,91200,499453.5519125683,52.64997482299805
180,68,200,91200,507777.77777777775,52.297115325927734
177,70,200,91200,516384.1807909605,54.37064170837402
173,65,200,91200,528323.6994219653,53.52306365966797
299,69,200,91200,305685.61872909695,52.68454551696777
191,62,200,91200,478534.0314136126,54.24666404724121
197,60,200,91200,463959.3908629442,53.94458770751953
177,72,200,91200,516384.1807909605,53.45916748046875
315,68,200,91200,290158.7301587302,52.716732025146484
213,70,200,91200,429107.9812206573,54.28123474121094
207,62,200,91200,441545.89371980674,64.0571117401123
217,69,200,91200,421198.1566820277,61.97094917297363
184,69,200,91200,496739.13043478265,59.60869789123535
305,77,200,91200,299672.131147541,53.8630485534668
176,63,200,91200,519318.1818181819,55.63187599182129
179,67,200,91200,510614.5251396648,52.16217041015625
176,59,200,91200,519318.1818181819,51.06711387634277
175,65,200,91200,522285.7142857143,55.819034576416016
303,68,200,91200,301650.1650165017,56.67233467102051
181,69,200,91200,504972.37569060776,57.18564987182617
178,69,200,91200,513483.1460674158,53.86924743652344
174,67,200,91200,525287.356321839,54.21733856201172
169,70,200,91200,540828.4023668639,54.53348159790039
305,72,200,91200,299672.131147541,48.78973960876465
193,72,200,91200,473575.12953367876,48.635244369506836
144,71,200,91200,634722.2222222221,24.083375930786133
153,61,200,91200,597385.6209150327,23.093461990356445
291,70,200,91200,314089.3470790378,25.78139305114746
150,66,200,91200,609333.3333333334,22.51410484313965
146,69,200,91200,626027.397260274,23.276805877685547
158,71,200,91200,578481.0126582279,29.740333557128906
158,83,200,91200,578481.0126582279,23.877859115600586
284,74,200,91200,321830.9859154929,22.20940589904785
152,72,200,91200,601315.7894736842,23.302316665649414
146,75,200,91200,626027.397260274,22.409677505493164
176,81,200,91200,519318.1818181819,55.68122863769531
181,78,200,91200,504972.37569060776,51.18966102600098
304,70,200,91200,300657.8947368421,59.613943099975586
173,54,200,91200,528323.6994219653,55.452585220336914
178,60,200,91200,513483.1460674158,53.17807197570801
190,67,200,91200,481052.63157894736,52.03580856323242
175,62,200,91200,522285.7142857143,54.933786392211914
309,64,200,91200,295792.8802588997,50.41384696960449
175,73,200,91200,522285.7142857143,52.01888084411621
178,69,200,91200,513483.1460674158,52.84881591796875
148,76,200,91200,617567.5675675676,52.05535888671875
308,64,200,91200,296753.24675324676,51.746368408203125
162,73,200,91200,564197.5308641975,55.43255805969238
170,61,200,91200,537647.0588235294,54.09741401672363
152,61,200,91200,601315.7894736842,28.15985679626465
114,65,200,91200,801754.3859649124,20.6453800201416
287,61,200,91200,318466.8989547038,29.68740463256836
121,66,200,91200,755371.9008264464,22.313833236694336
143,64,200,91200,639160.8391608391,25.766372680664062
161,56,200,91200,567701.8633540373,23.15044403076172
164,66,200,91200,557317.0731707318,22.75562286376953
329,64,200,91200,277811.55015197565,52.71720886230469
174,65,200,91200,525287.356321839,51.1474609375
216,68,200,91200,423148.14814814815,49.27682876586914
201,62,200,91200,454726.36815920396,53.261756896972656
190,69,200,91200,481052.63157894736,56.79655075073242
307,62,200,91200,297719.86970684037,53.89070510864258
173,65,200,91200,528323.6994219653,54.54087257385254
197,65,200,91200,463959.3908629442,61.239004135131836
215,77,200,91200,425116.2790697674,54.37445640563965
177,64,200,91200,516384.1807909605,50.70352554321289
278,68,200,91200,328776.9784172662,21.88587188720703
141,66,200,91200,648226.9503546099,21.750688552856445
152,69,200,91200,601315.7894736842,21.225690841674805
154,82,200,91200,593506.4935064935,23.662805557250977
158,72,200,91200,578481.0126582279,20.824670791625977
278,68,200,91200,328776.9784172662,20.371675491333008
139,60,200,91200,657553.9568345324,20.91360092163086
167,69,200,91200,547305.3892215568,50.99129676818848
173,74,200,91200,528323.6994219653,49.27229881286621
173,70,200,91200,528323.6994219653,51.7878532409668
317,72,200,91200,288328.07570977916,60.82034111022949
184,80,200,91200,496739.13043478265,57.36231803894043
181,71,200,91200,504972.37569060776,56.60104751586914
185,53,200,91200,494054.0540540541,52.819252014160156
165,70,200,91200,553939.393939394,52.567481994628906
303,68,200,91200,301650.1650165017,52.11234092712402
462,0,1664,91200,201004.32900432902,13.86713981628418
181,193,200,91200,504972.37569060776,55.23490905761719
158,30,200,91200,578481.0126582279,50.814151763916016
122,53,200,91200,749180.3278688525,22.211551666259766
126,51,200,91200,725396.8253968254,22.341251373291016
255,44,200,91200,358431.37254901964,21.64173126220703
135,52,200,91200,677037.0370370371,24.53446388244629
122,54,200,91200,749180.3278688525,22.253990173339844
132,52,200,91200,692424.2424242424,23.404598236083984
138,47,200,91200,662318.8405797101,22.09329605102539
287,45,200,91200,318466.8989547038,49.849510192871094
166,54,200,91200,550602.4096385542,53.83133888244629
173,53,200,91200,528323.6994219653,56.77080154418945
159,51,200,91200,574842.7672955975,59.65709686279297
194,49,200,91200,471134.0206185567,56.7011833190918
315,78,200,91200,290158.7301587302,67.69251823425293
186,60,200,91200,491397.84946236556,54.1234016418457
183,68,200,91200,499453.5519125683,50.583600997924805
141,73,200,91200,648226.9503546099,20.789623260498047
146,65,200,91200,626027.397260274,23.165225982666016
280,69,200,91200,326428.5714285714,25.437593460083008
131,71,200,91200,697709.9236641221,24.231672286987305
147,69,200,91200,621768.7074829933,21.62480354309082
145,66,200,91200,630344.8275862068,26.190996170043945
317,68,200,91200,288328.07570977916,48.26045036315918
162,65,200,91200,564197.5308641975,21.703720092773438
167,53,200,91200,547305.3892215568,50.16469955444336
155,74,200,91200,589677.4193548387,33.16521644592285
159,84,200,91200,574842.7672955975,54.6116828918457
311,71,200,91200,293890.6752411576,53.314924240112305
154,71,200,91200,593506.4935064935,53.72476577758789
174,74,200,91200,525287.356321839,51.9869327545166
184,64,200,91200,496739.13043478265,52.88863182067871
135,65,200,91200,677037.0370370371,21.970748901367188
293,61,200,91200,311945.3924914676,26.773929595947266
138,69,200,91200,662318.8405797101,22.617578506469727
143,60,200,91200,639160.8391608391,20.225048065185547
157,66,200,91200,582165.6050955415,22.833824157714844
135,70,200,91200,677037.0370370371,21.985769271850586
306,61,200,91200,298692.81045751635,47.88374900817871
149,65,200,91200,613422.8187919463,29.567718505859375
146,59,200,91200,626027.397260274,20.793914794921875
145,56,200,91200,630344.8275862068,21.147966384887695
139,65,200,91200,657553.9568345324,20.168066024780273
273,62,200,91200,334798.53479853476,22.212505340576172
139,66,200,91200,657553.9568345324,21.184682846069336
147,69,200,91200,621768.7074829933,22.919178009033203
143,73,200,91200,639160.8391608391,23.58388900756836
