rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
616,0,1664,91200,150753.24675324676,12.796878814697266
319,203,200,91200,286520.3761755486,143.77927780151367
298,200,200,91200,306711.40939597314,136.0304355621338
239,49,200,91200,382426.7782426778,61.8288516998291
168,46,200,91200,544047.619047619,55.67812919616699
317,49,200,91200,288328.07570977916,54.49032783508301
165,56,200,91200,553939.393939394,49.58677291870117
173,67,200,91200,528323.6994219653,27.916908264160156
130,50,200,91200,703076.9230769231,25.79474449157715
119,65,200,91200,768067.2268907563,22.459030151367188
249,58,200,91200,367068.27309236943,16.427993774414062
171,58,200,91200,534502.9239766081,22.536516189575195
143,158,200,91200,639160.8391608391,17.400503158569336
167,65,200,91200,547305.3892215568,24.82914924621582
142,59,200,91200,643661.9718309859,16.759634017944336
264,66,200,91200,346212.1212121212,22.429227828979492
128,58,200,91200,714062.5,16.54052734375
120,65,200,91200,761666.6666666666,21.141529083251953
120,57,200,91200,761666.6666666666,19.940614700317383
133,60,200,91200,687218.0451127819,28.829336166381836
292,57,200,91200,313013.698630137,18.478870391845703
167,57,200,91200,547305.3892215568,28.324127197265625
138,116,200,91200,662318.8405797101,22.63355255126953
186,68,200,91200,491397.84946236556,61.53535842895508
162,65,200,91200,564197.5308641975,57.2361946105957
290,61,200,91200,315172.4137931034,70.36280632019043
207,59,200,91200,441545.89371980674,56.84185028076172
176,66,200,91200,519318.1818181819,62.4699592590332
217,52,200,91200,421198.1566820277,55.5419921875
178,95,200,91200,513483.1460674158,73.13013076782227
346,69,200,91200,264161.84971098264,56.75315856933594
218,95,200,91200,419266.05504587153,72.61967658996582
189,98,200,91200,483597.88359788357,54.45575714111328
202,91,200,91200,452475.2475247525,76.40266418457031
197,72,200,91200,463959.3908629442,59.31973457336426
325,103,200,91200,281230.76923076925,78.46593856811523
230,70,200,91200,397391.30434782605,58.638811111450195
186,101,200,91200,491397.84946236556,62.4394416809082
186,73,200,91200,491397.84946236556,54.596662521362305
177,88,200,91200,516384.1807909605,75.7291316986084
322,68,200,91200,283850.93167701864,58.33768844604492
204,97,200,91200,448039.2156862745,62.673330307006836
184,66,200,91200,496739.13043478265,63.98200988769531
220,94,200,91200,415454.5454545454,60.813188552856445
174,73,200,91200,525287.356321839,56.45155906677246
313,100,200,91200,292012.77955271566,64.29362297058105
186,66,200,91200,491397.84946236556,57.31201171875
187,95,200,91200,488770.0534759358,62.4394416809082
191,71,200,91200,478534.0314136126,57.353973388671875
298,118,200,91200,306711.40939597314,64.3160343170166
178,67,200,91200,513483.1460674158,66.49351119995117
188,96,200,91200,486170.21276595746,64.7432804107666
214,69,200,91200,427102.80373831774,57.82938003540039
173,87,200,91200,528323.6994219653,65.06085395812988
191,73,200,91200,478534.0314136126,55.777549743652344
276,90,200,91200,331159.42028985504,64.01205062866211
198,68,200,91200,461616.1616161616,57.11531639099121
180,87,200,91200,507777.77777777775,72.65281677246094
204,74,200,91200,448039.2156862745,55.998802185058594
304,96,200,91200,300657.8947368421,77.0413875579834
203,69,200,91200,450246.3054187192,56.871891021728516
181,92,200,91200,504972.37569060776,61.40780448913574
183,64,200,91200,499453.5519125683,55.91630935668945
172,95,200,91200,531395.3488372093,75.3481388092041
340,70,200,91200,268823.5294117647,55.17077445983887
167,105,200,91200,547305.3892215568,62.74557113647461
193,80,200,91200,473575.12953367876,57.46150016784668
166,99,200,91200,550602.4096385542,63.8422966003418
178,68,200,91200,513483.1460674158,55.8772087097168
273,88,200,91200,334798.53479853476,62.58726119995117
192,64,200,91200,476041.6666666667,54.363250732421875
159,92,200,91200,574842.7672955975,62.393903732299805
173,72,200,91200,528323.6994219653,58.42113494873047
174,95,200,91200,525287.356321839,69.74387168884277
338,71,200,91200,270414.20118343196,55.70101737976074
162,96,200,91200,564197.5308641975,62.3931884765625
211,64,200,91200,433175.35545023694,57.0371150970459
170,100,200,91200,537647.0588235294,62.87527084350586
319,58,200,91200,286520.3761755486,55.15456199645996
159,84,200,91200,574842.7672955975,62.54148483276367
200,63,200,91200,457000.0,58.14981460571289
170,103,200,91200,537647.0588235294,65.38796424865723
184,57,200,91200,496739.13043478265,55.70864677429199
170,98,200,91200,537647.0588235294,74.42092895507812
322,65,200,91200,283850.93167701864,55.48405647277832
170,97,200,91200,537647.0588235294,60.84465980529785
202,65,200,91200,452475.2475247525,57.000160217285156
171,111,200,91200,534502.9239766081,64.00585174560547
313,70,200,91200,292012.77955271566,56.64801597595215
167,90,200,91200,547305.3892215568,61.02299690246582
198,58,200,91200,461616.1616161616,53.01260948181152
155,95,200,91200,589677.4193548387,60.23430824279785
159,82,200,91200,574842.7672955975,58.49480628967285
301,85,200,91200,303654.4850498339,61.00940704345703
183,77,200,91200,499453.5519125683,55.85002899169922
156,85,200,91200,585897.4358974359,61.506032943725586
181,55,200,91200,504972.37569060776,55.45830726623535
182,91,200,91200,502197.80219780223,60.03117561340332
293,73,200,91200,311945.3924914676,58.66217613220215
159,93,200,91200,574842.7672955975,70.50800323486328
205,65,200,91200,445853.6585365854,68.572998046875
172,92,200,91200,531395.3488372093,61.36775016784668
203,59,200,91200,450246.3054187192,57.36351013183594
304,87,200,91200,300657.8947368421,62.41798400878906
186,69,200,91200,491397.84946236556,56.68282508850098
174,91,200,91200,525287.356321839,61.51771545410156
179,65,200,91200,510614.5251396648,57.10029602050781
171,80,200,91200,534502.9239766081,63.98773193359375
304,71,200,91200,300657.8947368421,56.330204010009766
170,91,200,91200,537647.0588235294,30.282974243164062
194,75,200,91200,471134.0206185567,69.1976547241211
170,92,200,91200,537647.0588235294,68.72677803039551
225,70,200,91200,406222.22222222225,55.471181869506836
332,97,200,91200,275301.2048192771,75.32596588134766
211,75,200,91200,433175.35545023694,54.72087860107422
171,103,200,91200,534502.9239766081,61.25783920288086
191,74,200,91200,478534.0314136126,54.98981475830078
161,93,200,91200,567701.8633540373,60.593366622924805
308,68,200,91200,296753.24675324676,52.51312255859375
180,87,200,91200,507777.77777777775,59.4332218170166
192,78,200,91200,476041.6666666667,55.29665946960449
174,90,200,91200,525287.356321839,60.48893928527832
307,56,200,91200,297719.86970684037,27.402877807617188
167,109,200,91200,547305.3892215568,70.77527046203613
211,65,200,91200,433175.35545023694,55.65071105957031
175,96,200,91200,522285.7142857143,64.13483619689941
189,61,200,91200,483597.88359788357,55.01508712768555
319,87,200,91200,286520.3761755486,59.70025062561035
180,67,200,91200,507777.77777777775,53.60746383666992
181,102,200,91200,504972.37569060776,61.03205680847168
168,67,200,91200,544047.619047619,53.6799430847168
173,95,200,91200,528323.6994219653,64.24522399902344
316,78,200,91200,289240.50632911397,55.359840393066406
172,93,200,91200,531395.3488372093,60.149431228637695
173,63,200,91200,528323.6994219653,54.129600524902344
186,70,200,91200,491397.84946236556,60.78219413757324
182,74,200,91200,502197.80219780223,62.677621841430664
322,97,200,91200,283850.93167701864,69.73409652709961
191,63,200,91200,478534.0314136126,65.42420387268066
203,92,200,91200,450246.3054187192,55.814504623413086
176,63,200,91200,519318.1818181819,54.17490005493164
197,97,200,91200,463959.3908629442,59.30352210998535
326,57,200,91200,280368.0981595092,55.34625053405762
194,95,200,91200,471134.0206185567,61.44070625305176
188,65,200,91200,486170.21276595746,53.933143615722656
197,89,200,91200,463959.3908629442,57.92665481567383
303,58,200,91200,301650.1650165017,53.65157127380371
207,88,200,91200,441545.89371980674,57.213544845581055
191,81,200,91200,478534.0314136126,54.51226234436035
156,100,200,91200,585897.4358974359,60.47391891479492
192,66,200,91200,476041.6666666667,56.472063064575195
310,88,200,91200,294838.70967741933,70.22809982299805
449,68,200,91200,203563.47438752782,63.506126403808594
203,117,200,91200,450246.3054187192,58.32958221435547
232,65,200,91200,393965.5172413793,54.47745323181152
191,102,200,91200,478534.0314136126,56.08987808227539
320,61,200,91200,285625.0,54.28743362426758
173,102,200,91200,528323.6994219653,56.87761306762695
179,64,200,91200,510614.5251396648,57.75618553161621
172,91,200,91200,531395.3488372093,60.66179275512695
191,67,200,91200,478534.0314136126,50.31466484069824
306,98,200,91200,298692.81045751635,56.5183162689209
356,57,200,91200,256741.5730337079,51.74136161804199
180,178,200,91200,507777.77777777775,67.90328025817871
263,74,200,91200,347528.51711026614,50.787925720214844
170,117,200,91200,537647.0588235294,57.26790428161621
316,69,200,91200,289240.50632911397,50.202131271362305
177,116,200,91200,516384.1807909605,58.123111724853516
198,67,200,91200,461616.1616161616,52.514076232910156
171,96,200,91200,534502.9239766081,64.75639343261719
324,66,200,91200,282098.76543209876,51.60641670227051
172,112,200,91200,531395.3488372093,59.5395565032959
179,68,200,91200,510614.5251396648,59.313297271728516
183,104,200,91200,499453.5519125683,79.25200462341309
193,64,200,91200,473575.12953367876,98.2215404510498
355,103,200,91200,257464.78873239437,94.15197372436523
257,59,200,91200,355642.0233463035,55.56845664978027
179,98,200,91200,510614.5251396648,63.188791275024414
179,61,200,91200,510614.5251396648,59.01527404785156
344,98,200,91200,265697.67441860464,63.149452209472656
325,60,200,91200,281230.76923076925,58.65120887756348
178,79,200,91200,513483.1460674158,72.42441177368164
