rttTimer(ms),latencyTime(ms),packetSizeUp(B),packetSizeDown(B),Throughput(B/s),processTime(ms)
577,0,1664,91200,160942.80762564993,20.95508575439453
357,483,200,91200,256022.40896358548,95.97444534301758
177,32,200,91200,516384.1807909605,62.0880126953125
153,66,200,91200,597385.6209150327,61.02895736694336
162,0,1664,91200,573234.5679012345,12.904167175292969
491,54,200,91200,186150.71283095723,86.50708198547363
324,211,200,91200,282098.76543209876,84.00440216064453
341,49,200,91200,268035.1906158358,100.67987442016602
210,49,200,91200,435238.09523809527,80.24191856384277
234,58,200,91200,390598.29059829056,78.76920700073242
349,50,200,91200,261891.11747851002,89.03861045837402
326,62,200,91200,280368.0981595092,26.882410049438477
122,61,200,91200,749180.3278688525,60.12582778930664
176,62,200,91200,519318.1818181819,196.71273231506348
297,62,200,91200,307744.1077441077,68.35079193115234
306,68,200,91200,298692.81045751635,80.23977279663086
177,59,200,91200,516384.1807909605,59.442758560180664
171,65,200,91200,534502.9239766081,198.43554496765137
312,61,200,91200,292948.71794871794,197.74413108825684
302,60,200,91200,302649.00662251655,71.23327255249023
176,60,200,91200,519318.1818181819,68.35460662841797
170,66,200,91200,537647.0588235294,73.60482215881348
173,56,200,91200,528323.6994219653,63.646793365478516
179,69,200,91200,510614.5251396648,91.75276756286621
339,64,200,91200,269616.5191740413,86.05337142944336
243,65,200,91200,376131.6872427984,56.51235580444336
153,76,200,91200,597385.6209150327,56.29682540893555
181,66,200,91200,504972.37569060776,65.15812873840332
169,58,200,91200,540828.4023668639,54.18705940246582
298,57,200,91200,306711.40939597314,54.486751556396484
173,70,200,91200,528323.6994219653,53.13372611999512
162,74,200,91200,564197.5308641975,54.825544357299805
185,63,200,91200,494054.0540540541,55.62448501586914
178,97,200,91200,513483.1460674158,93.3835506439209
349,65,200,91200,261891.11747851002,85.8314037322998
247,100,200,91200,370040.4858299595,56.921958923339844
179,68,200,91200,510614.5251396648,52.79684066772461
176,109,200,91200,519318.1818181819,55.117130279541016
174,68,200,91200,525287.356321839,55.18460273742676
332,90,200,91200,275301.2048192771,56.8389892578125
194,69,200,91200,471134.0206185567,55.632591247558594
193,99,200,91200,473575.12953367876,55.982351303100586
170,64,200,91200,537647.0588235294,64.53418731689453
198,120,200,91200,461616.1616161616,54.750919342041016
302,71,200,91200,302649.00662251655,53.78317832946777
238,86,200,91200,384033.61344537814,55.40728569030762
189,161,200,91200,483597.88359788357,53.51424217224121
222,103,200,91200,411711.7117117117,73.93217086791992
324,59,200,91200,282098.76543209876,72.08442687988281
239,79,200,91200,382426.7782426778,56.13827705383301
194,146,200,91200,471134.0206185567,58.67195129394531
252,89,200,91200,362698.4126984127,56.97798728942871
188,61,200,91200,486170.21276595746,55.06491661071777
316,108,200,91200,289240.50632911397,57.27982521057129
205,65,200,91200,445853.6585365854,54.74448204040527
183,97,200,91200,499453.5519125683,56.21910095214844
181,65,200,91200,504972.37569060776,55.3278923034668
177,101,200,91200,516384.1807909605,55.96733093261719
334,74,200,91200,273652.6946107784,57.55114555358887
248,99,200,91200,368548.3870967742,55.67455291748047
227,159,200,91200,402643.1718061674,50.797224044799805
204,86,200,91200,448039.2156862745,53.22670936584473
187,64,200,91200,488770.0534759358,52.5357723236084
294,118,200,91200,310884.3537414966,23.299217224121094
169,70,200,91200,540828.4023668639,22.59969711303711
144,97,200,91200,634722.2222222221,25.15721321105957
197,68,200,91200,463959.3908629442,52.13189125061035
300,103,200,91200,304666.6666666667,53.02119255065918
196,60,200,91200,466326.53061224485,53.50446701049805
202,88,200,91200,452475.2475247525,55.99689483642578
184,66,200,91200,496739.13043478265,54.419517517089844
206,104,200,91200,443689.32038834953,65.84501266479492
215,53,200,91200,425116.2790697674,54.047584533691406
326,92,200,91200,280368.0981595092,57.92665481567383
211,81,200,91200,433175.35545023694,55.063486099243164
179,121,200,91200,510614.5251396648,55.11832237243652
210,65,200,91200,435238.09523809527,53.845882415771484
296,84,200,91200,308783.7837837838,58.47001075744629
206,68,200,91200,443689.32038834953,56.61630630493164
174,99,200,91200,525287.356321839,56.597232818603516
188,78,200,91200,486170.21276595746,56.084632873535156
158,96,200,91200,578481.0126582279,53.710222244262695
313,66,200,91200,292012.77955271566,64.14794921875
178,96,200,91200,513483.1460674158,51.79429054260254
168,69,200,91200,544047.619047619,56.662559509277344
167,88,200,91200,547305.3892215568,52.38008499145508
195,69,200,91200,468717.94871794875,56.97202682495117
306,89,200,91200,298692.81045751635,51.14245414733887
211,61,200,91200,433175.35545023694,57.74950981140137
173,92,200,91200,528323.6994219653,51.11432075500488
180,71,200,91200,507777.77777777775,55.419206619262695
159,102,200,91200,574842.7672955975,54.968833923339844
324,62,200,91200,282098.76543209876,55.345773696899414
173,87,200,91200,528323.6994219653,54.31318283081055
194,69,200,91200,471134.0206185567,55.98187446594238
162,94,200,91200,564197.5308641975,55.5119514465332
332,67,200,91200,275301.2048192771,56.149959564208984
167,96,200,91200,547305.3892215568,52.80947685241699
203,67,200,91200,450246.3054187192,55.88579177856445
189,97,200,91200,483597.88359788357,53.281307220458984
204,68,200,91200,448039.2156862745,59.94081497192383
299,98,200,91200,305685.61872909695,53.45654487609863
202,61,200,91200,452475.2475247525,53.24959754943848
169,93,200,91200,540828.4023668639,53.442955017089844
210,67,200,91200,435238.09523809527,54.613351821899414
157,103,200,91200,582165.6050955415,53.435325622558594
326,56,200,91200,280368.0981595092,54.28791046142578
181,98,200,91200,504972.37569060776,54.28791046142578
213,59,200,91200,429107.9812206573,55.02486228942871
159,82,200,91200,574842.7672955975,53.4052848815918
202,66,200,91200,452475.2475247525,55.61327934265137
275,108,200,91200,332363.63636363635,53.21907997131348
191,68,200,91200,478534.0314136126,54.488182067871094
184,100,200,91200,496739.13043478265,53.78532409667969
203,67,200,91200,450246.3054187192,54.931640625
170,80,200,91200,537647.0588235294,54.02970314025879
315,65,200,91200,290158.7301587302,58.341026306152344
183,109,200,91200,499453.5519125683,53.51829528808594
212,70,200,91200,431132.0754716981,54.859161376953125
167,101,200,91200,547305.3892215568,54.717302322387695
340,66,200,91200,268823.5294117647,52.85453796386719
166,89,200,91200,550602.4096385542,53.804636001586914
199,62,200,91200,459296.4824120603,52.04629898071289
169,109,200,91200,540828.4023668639,52.428245544433594
178,63,200,91200,513483.1460674158,55.44900894165039
293,105,200,91200,311945.3924914676,54.64982986450195
185,58,200,91200,494054.0540540541,54.94856834411621
175,96,200,91200,522285.7142857143,54.78549003601074
183,63,200,91200,499453.5519125683,53.442955017089844
157,96,200,91200,582165.6050955415,52.037954330444336
313,62,200,91200,292012.77955271566,61.255455017089844
178,94,200,91200,513483.1460674158,51.67436599731445
202,68,200,91200,452475.2475247525,54.282188415527344
196,101,200,91200,466326.53061224485,51.73063278198242
172,61,200,91200,531395.3488372093,62.702178955078125
314,96,200,91200,291082.8025477707,54.85939979553223
208,67,200,91200,439423.0769230769,53.56931686401367
172,101,200,91200,531395.3488372093,54.500579833984375
199,72,200,91200,459296.4824120603,53.395748138427734
299,92,200,91200,305685.61872909695,50.6441593170166
216,59,200,91200,423148.14814814815,53.05051803588867
173,108,200,91200,528323.6994219653,53.63130569458008
176,65,200,91200,519318.1818181819,50.87924003601074
174,87,200,91200,525287.356321839,61.345815658569336
229,67,200,91200,399126.6375545852,57.11841583251953
320,121,200,91200,285625.0,55.93705177307129
217,65,200,91200,421198.1566820277,54.3513298034668
169,105,200,91200,540828.4023668639,53.31540107727051
182,62,200,91200,502197.80219780223,60.95266342163086
323,81,200,91200,282972.1362229102,52.27780342102051
177,75,200,91200,516384.1807909605,52.05392837524414
171,86,200,91200,534502.9239766081,52.095890045166016
198,54,200,91200,461616.1616161616,52.580833435058594
177,84,200,91200,516384.1807909605,54.91471290588379
303,66,200,91200,301650.1650165017,53.15423011779785
170,81,200,91200,537647.0588235294,55.574655532836914
193,71,200,91200,473575.12953367876,52.70051956176758
169,97,200,91200,540828.4023668639,51.932334899902344
194,56,200,91200,471134.0206185567,53.877830505371094
289,94,200,91200,316262.9757785467,54.018259048461914
205,65,200,91200,445853.6585365854,53.357601165771484
168,108,200,91200,544047.619047619,55.92656135559082
168,67,200,91200,544047.619047619,53.44080924987793
174,100,200,91200,525287.356321839,61.23185157775879
341,68,200,91200,268035.1906158358,53.487539291381836
163,106,200,91200,560736.1963190184,58.541059494018555
197,73,200,91200,463959.3908629442,51.15938186645508
178,93,200,91200,513483.1460674158,51.59401893615723
318,59,200,91200,287421.38364779874,51.32722854614258
172,94,200,91200,531395.3488372093,55.78112602233887
216,68,200,91200,423148.14814814815,54.98933792114258
178,99,200,91200,513483.1460674158,54.92734909057617
197,66,200,91200,463959.3908629442,58.79974365234375
312,86,200,91200,292948.71794871794,53.720712661743164
215,71,200,91200,425116.2790697674,53.49540710449219
168,94,200,91200,544047.619047619,53.89404296875
205,77,200,91200,445853.6585365854,54.98623847961426
177,98,200,91200,516384.1807909605,51.47576332092285
301,74,200,91200,303654.4850498339,54.541826248168945
172,72,200,91200,531395.3488372093,54.07214164733887
202,65,200,91200,452475.2475247525,55.00292778015137
174,89,200,91200,525287.356321839,58.47597122192383
203,60,200,91200,450246.3054187192,65.54651260375977
310,103,200,91200,294838.70967741933,51.27453804016113
209,68,200,91200,437320.57416267943,52.31523513793945
162,81,200,91200,564197.5308641975,56.612491607666016
168,66,200,91200,544047.619047619,55.43828010559082
181,97,200,91200,504972.37569060776,54.11863327026367
322,58,200,91200,283850.93167701864,52.11973190307617
186,96,200,91200,491397.84946236556,53.99751663208008
195,64,200,91200,468717.94871794875,61.29312515258789
186,96,200,91200,491397.84946236556,52.18815803527832
201,69,200,91200,454726.36815920396,54.91995811462402
317,97,200,91200,288328.07570977916,53.10869216918945
194,71,200,91200,471134.0206185567,52.680015563964844
213,62,200,91200,429107.9812206573,53.7724494934082
326,72,200,91200,280368.0981595092,60.97221374511719
216,65,200,91200,423148.14814814815,51.84197425842285
